Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating
2025-04-21,17:23:00,CNR2853007,Success,465017,eBike,Area 18,Area 40,5.47,7.58,0,,0,,0,,298.24,7.76,3.6,4.6
2025-04-30,00:28:00,CNR0210018,Other,498509,Auto,Area 17,Area 28,,,0,,0,,0,,,,,
2025-04-18,08:23:00,CNR7923789,Success,983805,Prime Sedan,Area 31,Area 29,9.73,7.34,0,,0,,0,,1193.77,2.1,3.5,3.5
2025-04-19,23:12:00,CNR7736424,Success,637502,Mini,Area 50,Area 49,7.21,8.89,0,,0,,0,,709.73,20.32,3.5,3.4
2025-04-29,00:27:00,CNR7852731,Success,394779,Prime Sedan,Area 12,Area 50,2.13,11.41,0,,0,,0,,408.62,2.52,4.1,4.2
2025-04-01,06:27:00,CNR1883664,Success,124833,Bike,Area 39,Area 38,4.48,11.29,0,,0,,0,,1199.16,20.36,4.9,4.8
2025-04-13,23:58:00,CNR4179712,Other,884011,Prime Plus,Area 25,Area 2,,,0,,0,,0,,,,,
2025-04-24,16:17:00,CNR3329191,Success,269974,Prime SUV,Area 10,Area 11,5.38,7,0,,0,,0,,496.14,17.13,3.3,4.8
2025-04-22,02:28:00,CNR7082276,Success,550985,Prime Sedan,Area 33,Area 25,6.14,11.87,0,,0,,0,,192.23,1.63,4.5,4.6
2025-04-14,20:25:00,CNR4492294,Success,386533,Mini,Area 30,Area 36,8.58,5.97,0,,0,,0,,1205.04,2.15,5,4.6
2025-04-05,12:48:00,CNR0716233,Incomplete,964187,Prime Plus,Area 13,Area 2,,,0,,0,,1,Other Issue,,,,
2025-04-17,23:08:00,CNR2141069,Success,750301,Mini,Area 33,Area 30,6.67,10.56,0,,0,,0,,295.62,16.2,4.6,4.4
2025-04-14,06:02:00,CNR6519275,Success,935413,Auto,Area 6,Area 30,8.14,6.37,0,,0,,0,,201.52,2.11,4.3,3.8
2025-04-11,10:12:00,CNR3880364,Success,700256,Bike,Area 8,Area 37,8.9,10.17,0,,0,,0,,193.43,12.59,4.9,3.2
2025-04-29,12:22:00,CNR4403326,Cancelled by Customer,337954,Prime SUV,Area 41,Area 48,,,1,AC is not working,0,,0,,,,,
2025-04-18,11:11:00,CNR6478559,Success,795453,Prime SUV,Area 10,Area 32,6.76,9.45,0,,0,,0,,95.73,7.2,4.1,3.5
2025-04-12,11:51:00,CNR7574041,Other,566301,Auto,Area 23,Area 48,,,0,,0,,0,,,,,
2025-04-29,15:12:00,CNR2128354,Success,619076,Prime Plus,Area 5,Area 38,5.01,10.02,0,,0,,0,,503.81,21.3,4.2,4.9
2025-04-22,12:23:00,CNR9302407,Cancelled by Driver,306158,Prime Sedan,Area 1,Area 46,,,0,,1,Personal & Car related issues,0,,,,,
2025-04-01,20:32:00,CNR7430735,Success,128879,Prime Sedan,Area 14,Area 26,5,7.64,0,,0,,0,,494.32,10.27,3.9,4.3
2025-04-18,10:12:00,CNR0713277,Cancelled by Customer,994566,Prime SUV,Area 44,Area 10,,,1,Wrong Address,0,,0,,,,,
2025-04-21,22:06:00,CNR6276460,Cancelled by Customer,443134,eBike,Area 25,Area 6,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-04-21,22:43:00,CNR0296707,Cancelled by Customer,587922,Mini,Area 7,Area 12,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-04-18,18:14:00,CNR8083275,Cancelled by Driver,834447,Mini,Area 21,Area 4,,,0,,1,Customer related issue,0,,,,,
2025-04-15,07:33:00,CNR4585251,Cancelled by Driver,735029,Prime SUV,Area 47,Area 26,,,0,,1,Customer related issue,0,,,,,
2025-04-16,04:58:00,CNR5331056,Success,932514,eBike,Area 30,Area 30,4.13,11.71,0,,0,,0,,202.16,4.88,4.3,3.4
2025-04-12,11:46:00,CNR4189248,Success,822806,Auto,Area 11,Area 20,2.41,9.29,0,,0,,0,,691.87,23.42,4,3.5
2025-04-19,23:35:00,CNR5842747,Other,806005,Mini,Area 27,Area 12,,,0,,0,,0,,,,,
2025-04-06,05:04:00,CNR3383785,Success,253908,Prime Sedan,Area 20,Area 40,5.22,3.52,0,,0,,0,,1008.69,4.62,4.3,4.6
2025-04-01,08:48:00,CNR1301973,Success,641601,Auto,Area 47,Area 45,8.61,7.32,0,,0,,0,,402.46,22.01,3,4.9
2025-04-13,19:34:00,CNR6509159,Success,456058,Prime Sedan,Area 25,Area 11,4.13,6.82,0,,0,,0,,597.08,19.65,4.9,3.6
2025-04-19,10:35:00,CNR1357864,Cancelled by Driver,344381,eBike,Area 2,Area 9,,,0,,1,Customer related issue,0,,,,,
2025-04-12,01:49:00,CNR5045339,Cancelled by Customer,273282,eBike,Area 19,Area 27,,,1,Wrong Address,0,,0,,,,,
2025-04-21,06:25:00,CNR0070243,Success,138598,Auto,Area 4,Area 46,2.86,4.96,0,,0,,0,,309.1,7.68,4.6,3.9
2025-04-05,14:30:00,CNR1512139,Other,730780,Mini,Area 3,Area 7,,,0,,0,,0,,,,,
2025-04-15,15:12:00,CNR0870241,Success,408146,Prime Plus,Area 37,Area 38,8.69,4.71,0,,0,,0,,403.58,19.63,4.3,5
2025-04-28,02:41:00,CNR5353193,Success,810306,Auto,Area 10,Area 33,7.54,5.65,0,,0,,0,,204.63,18.43,3.9,3.4
2025-04-17,19:20:00,CNR7565870,Success,487444,Prime Plus,Area 48,Area 1,7.14,9.4,0,,0,,0,,193.74,11.52,4.6,4.3
2025-04-22,07:56:00,CNR3473572,Success,165526,Bike,Area 20,Area 44,7.9,3.79,0,,0,,0,,307.49,19.82,4.9,3.9
2025-04-20,16:47:00,CNR8014673,Success,939377,Mini,Area 32,Area 30,4.69,8.85,0,,0,,0,,696.65,13.42,4.2,4.3
2025-04-28,19:53:00,CNR1501748,Success,303649,Prime SUV,Area 14,Area 14,9.64,7.17,0,,0,,0,,593.64,21.87,3.6,3.9
2025-04-29,01:46:00,CNR6865419,Cancelled by Driver,759423,Prime SUV,Area 37,Area 14,,,0,,1,Customer related issue,0,,,,,
2025-04-09,22:21:00,CNR7216563,Success,375263,Prime SUV,Area 34,Area 50,3.3,8.74,0,,0,,0,,800.65,13,3.2,4.5
2025-04-12,01:00:00,CNR5759349,Success,179046,Prime Sedan,Area 7,Area 33,2.59,6.67,0,,0,,0,,696.61,9.7,4.9,4.3
2025-04-07,07:07:00,CNR7140430,Cancelled by Driver,314320,Auto,Area 16,Area 27,,,0,,1,The customer was coughing/sick,0,,,,,
2025-04-29,14:27:00,CNR2133435,Success,653932,Prime SUV,Area 26,Area 7,6.28,4.75,0,,0,,0,,209.86,7.9,4.4,3.2
2025-04-14,23:02:00,CNR6244514,Cancelled by Customer,743752,Prime Sedan,Area 29,Area 34,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-04-20,08:40:00,CNR6557004,Cancelled by Driver,575625,Mini,Area 24,Area 1,,,0,,1,Personal & Car related issues,0,,,,,
2025-04-23,22:20:00,CNR9737597,Other,976444,Auto,Area 44,Area 33,,,0,,0,,0,,,,,
2025-04-01,15:27:00,CNR5321312,Success,517500,Prime Plus,Area 21,Area 15,2.02,10.24,0,,0,,0,,402.25,12.12,4.5,3.1
2025-04-17,14:48:00,CNR2027136,Success,571209,Prime SUV,Area 44,Area 32,9.47,9.69,0,,0,,0,,97.63,10.93,4.1,3.3
2025-04-19,11:39:00,CNR9076778,Cancelled by Customer,263004,eBike,Area 20,Area 42,,,1,Change of plans,0,,0,,,,,
2025-04-09,20:34:00,CNR2285766,Other,660017,Prime Plus,Area 34,Area 47,,,0,,0,,0,,,,,
2025-04-23,04:49:00,CNR9857116,Success,493165,eBike,Area 50,Area 29,3.77,4.01,0,,0,,0,,498.28,11.82,3.3,4.7
2025-04-22,20:51:00,CNR3849660,Success,812255,Mini,Area 27,Area 21,6.08,10.96,0,,0,,0,,198.53,7.58,3.8,4.3
2025-04-21,06:05:00,CNR5926716,Success,806976,Prime SUV,Area 10,Area 12,3.8,3.04,0,,0,,0,,107.8,8.51,4.1,3.1
2025-04-25,17:06:00,CNR5458706,Cancelled by Customer,975118,Bike,Area 31,Area 8,,,1,Change of plans,0,,0,,,,,
2025-04-06,21:09:00,CNR6037669,Success,920924,Prime Plus,Area 3,Area 33,6.59,10.87,0,,0,,0,,695.09,24.13,3.3,4.6
2025-04-12,17:47:00,CNR1733414,Cancelled by Driver,645260,Prime Plus,Area 31,Area 40,,,0,,1,Customer related issue,0,,,,,
2025-04-18,08:36:00,CNR0719323,Success,822197,Auto,Area 21,Area 17,8.94,6.36,0,,0,,0,,197.28,21.61,3.4,4.1
2025-04-22,20:51:00,CNR2494765,Incomplete,305750,Bike,Area 50,Area 11,,,0,,0,,1,Customer Demand,,,,
2025-04-22,17:53:00,CNR5139175,Other,926960,Prime Plus,Area 25,Area 7,,,0,,0,,0,,,,,
2025-04-26,12:41:00,CNR6932281,Success,682552,Prime Plus,Area 50,Area 10,8.81,7.97,0,,0,,0,,1201.62,3.47,3.8,3.4
2025-04-11,01:44:00,CNR4594198,Cancelled by Driver,295707,Auto,Area 11,Area 10,,,0,,1,Customer related issue,0,,,,,
2025-04-09,03:16:00,CNR1522880,Incomplete,697012,Auto,Area 15,Area 3,,,0,,0,,1,Vehicle Breakdown,,,,
2025-04-18,01:38:00,CNR2953698,Success,977953,Auto,Area 37,Area 43,7.08,3.98,0,,0,,0,,207.5,3.65,3.8,4.6
2025-04-15,15:13:00,CNR1659823,Success,498497,Prime SUV,Area 35,Area 10,9.98,8.81,0,,0,,0,,496.57,23.85,3.6,3.7
2025-04-09,14:19:00,CNR7379321,Success,794763,Prime Sedan,Area 8,Area 42,4.13,7.77,0,,0,,0,,203.97,10.9,4.8,3.9
2025-04-01,08:28:00,CNR1236993,Success,135791,eBike,Area 38,Area 42,2.48,8.9,0,,0,,0,,105.08,11.57,3.8,4.4
2025-04-18,19:00:00,CNR9417485,Cancelled by Driver,755920,Mini,Area 10,Area 38,,,0,,1,Customer related issue,0,,,,,
2025-04-01,22:05:00,CNR1518695,Incomplete,756776,Mini,Area 4,Area 11,,,0,,0,,1,Customer Demand,,,,
2025-04-18,16:43:00,CNR4932587,Incomplete,829940,Bike,Area 25,Area 13,,,0,,0,,1,Vehicle Breakdown,,,,
2025-04-26,12:47:00,CNR1688341,Cancelled by Driver,414784,Prime Plus,Area 6,Area 37,,,0,,1,Personal & Car related issues,0,,,,,
2025-04-26,04:31:00,CNR7184230,Cancelled by Driver,129729,eBike,Area 16,Area 13,,,0,,1,More than permitted people in there,0,,,,,
2025-04-09,02:38:00,CNR8850519,Success,573569,Bike,Area 25,Area 25,8.29,11.64,0,,0,,0,,99.45,22.41,3.2,4.6
2025-04-03,17:42:00,CNR5080067,Success,302924,eBike,Area 7,Area 23,6.9,10.9,0,,0,,0,,494.47,12.9,3.8,3.9
2025-04-26,14:09:00,CNR6294601,Success,573303,Prime Sedan,Area 20,Area 28,2.97,10.34,0,,0,,0,,994.32,1.44,3.6,3.4
2025-04-30,07:19:00,CNR9874409,Success,781407,Prime Plus,Area 17,Area 43,8.84,10.4,0,,0,,0,,501.98,1.16,3.8,4.7
2025-04-13,08:37:00,CNR7379124,Success,705569,Prime Plus,Area 27,Area 29,8.04,4.06,0,,0,,0,,597.29,18.17,3.4,3.8
2025-04-05,20:32:00,CNR8626781,Success,279248,Auto,Area 47,Area 18,6.91,3.29,0,,0,,0,,707.65,22.08,5,4.9
2025-04-14,13:24:00,CNR2934296,Cancelled by Driver,536974,Bike,Area 24,Area 10,,,0,,1,More than permitted people in there,0,,,,,
2025-04-15,13:25:00,CNR3938949,Success,926068,eBike,Area 11,Area 17,2.95,11.55,0,,0,,0,,200.61,1.76,4.3,4.2
2025-04-26,13:42:00,CNR0201635,Cancelled by Driver,235391,Mini,Area 39,Area 44,,,0,,1,Customer related issue,0,,,,,
2025-04-02,16:20:00,CNR8015045,Cancelled by Driver,246741,Prime Plus,Area 19,Area 34,,,0,,1,Personal & Car related issues,0,,,,,
2025-04-25,12:39:00,CNR7840168,Other,974651,Prime Plus,Area 17,Area 6,,,0,,0,,0,,,,,
2025-04-17,10:11:00,CNR2806413,Cancelled by Driver,807785,Auto,Area 38,Area 37,,,0,,1,The customer was coughing/sick,0,,,,,
2025-04-12,17:59:00,CNR6611057,Success,275084,eBike,Area 45,Area 13,6.51,3.1,0,,0,,0,,593.28,19.38,3.3,4.4
2025-04-30,00:57:00,CNR9830617,Success,712969,Bike,Area 21,Area 44,6.39,6.14,0,,0,,0,,503.53,6.09,4.4,3.8
2025-04-28,07:50:00,CNR8110087,Cancelled by Driver,544883,Auto,Area 50,Area 16,,,0,,1,More than permitted people in there,0,,,,,
2025-04-11,13:03:00,CNR8038109,Incomplete,354388,eBike,Area 37,Area 20,,,0,,0,,1,Vehicle Breakdown,,,,
2025-04-29,04:40:00,CNR1568809,Success,134913,Mini,Area 40,Area 36,2.48,5.34,0,,0,,0,,291.33,8.81,4.3,3.8
2025-04-08,12:11:00,CNR7876181,Success,472397,Auto,Area 31,Area 19,2.73,11.11,0,,0,,0,,291.04,10.15,4.1,3.4
2025-04-12,02:49:00,CNR3552623,Success,908714,Prime Sedan,Area 6,Area 6,7.7,5.05,0,,0,,0,,709.17,12.24,4.4,3.5
2025-04-01,11:57:00,CNR3497804,Success,233047,Bike,Area 10,Area 27,9.72,6.37,0,,0,,0,,109.39,12.56,4.4,4.6
2025-04-20,00:05:00,CNR6570572,Success,977481,Prime Sedan,Area 45,Area 25,4.67,4.73,0,,0,,0,,690.36,19.9,3.2,3.1
2025-04-06,00:05:00,CNR0972779,Cancelled by Customer,170959,Mini,Area 41,Area 2,,,1,AC is not working,0,,0,,,,,
2025-04-03,16:17:00,CNR3251079,Incomplete,253005,Prime Plus,Area 42,Area 18,,,0,,0,,1,Vehicle Breakdown,,,,
2025-04-01,05:15:00,CNR6097789,Cancelled by Customer,116828,Prime SUV,Area 12,Area 18,,,1,Wrong Address,0,,0,,,,,
2025-04-01,17:20:00,CNR2639858,Success,591905,Prime Sedan,Area 37,Area 47,4.49,11.77,0,,0,,0,,498.57,2.19,4.7,3.6
2025-04-03,13:21:00,CNR1800773,Success,264608,Auto,Area 32,Area 11,6.26,5.5,0,,0,,0,,802.86,3.36,3.7,4.5
2025-04-01,12:12:00,CNR9043968,Success,825444,Prime Sedan,Area 30,Area 48,6.03,4.45,0,,0,,0,,1203.08,13.25,4.1,4.1
2025-04-07,14:07:00,CNR4190875,Cancelled by Driver,461213,Prime Plus,Area 19,Area 1,,,0,,1,Personal & Car related issues,0,,,,,
2025-04-10,14:16:00,CNR1867228,Success,298061,Prime Plus,Area 43,Area 3,4.62,9.49,0,,0,,0,,301.6,12.37,4.3,3.2
2025-04-20,02:39:00,CNR8472845,Success,891572,Bike,Area 36,Area 44,2.25,10.77,0,,0,,0,,990.68,3.94,4.7,5
2025-04-25,00:02:00,CNR5392294,Cancelled by Driver,550144,eBike,Area 21,Area 27,,,0,,1,Personal & Car related issues,0,,,,,
2025-04-27,13:05:00,CNR1123342,Success,367286,Prime SUV,Area 23,Area 38,4.5,6.56,0,,0,,0,,792.38,4.26,3.2,4.3
2025-04-27,09:29:00,CNR2083018,Success,506556,Mini,Area 16,Area 20,8.23,9.96,0,,0,,0,,790.2,11.43,3.2,4.5
2025-04-22,22:22:00,CNR8317029,Success,218486,Mini,Area 4,Area 8,7.82,4.75,0,,0,,0,,207.98,6.27,4.6,3.2
2025-04-12,08:19:00,CNR5597737,Cancelled by Driver,496248,Prime Plus,Area 16,Area 32,,,0,,1,More than permitted people in there,0,,,,,
2025-04-03,10:27:00,CNR4773446,Cancelled by Driver,710020,Prime SUV,Area 30,Area 33,,,0,,1,Customer related issue,0,,,,,
2025-04-27,07:11:00,CNR6205691,Success,570400,Mini,Area 24,Area 5,5.55,8.49,0,,0,,0,,806.36,22.98,4,3.5
2025-04-23,07:26:00,CNR7589674,Other,451361,Bike,Area 49,Area 11,,,0,,0,,0,,,,,
2025-04-20,13:14:00,CNR5967912,Cancelled by Customer,495786,Mini,Area 46,Area 24,,,1,Change of plans,0,,0,,,,,
2025-04-02,19:42:00,CNR1504635,Success,275142,Prime Plus,Area 6,Area 11,5.49,9.02,0,,0,,0,,91.08,18.15,3.5,3.3
2025-04-30,05:06:00,CNR6581805,Other,657510,Prime Plus,Area 43,Area 11,,,0,,0,,0,,,,,
2025-04-01,23:46:00,CNR8853614,Cancelled by Customer,457593,Auto,Area 31,Area 23,,,1,Wrong Address,0,,0,,,,,
2025-04-21,15:17:00,CNR6220713,Cancelled by Driver,661410,Prime Sedan,Area 34,Area 29,,,0,,1,The customer was coughing/sick,0,,,,,
2025-04-01,20:36:00,CNR5949086,Success,147165,Prime Sedan,Area 14,Area 11,5.42,5.58,0,,0,,0,,192.14,1.63,3.4,4.9
2025-04-11,00:19:00,CNR6741150,Success,602425,Prime SUV,Area 22,Area 21,6.67,3.13,0,,0,,0,,100.02,12.85,3.7,4.7
2025-04-11,07:05:00,CNR9643806,Cancelled by Customer,607137,Auto,Area 50,Area 18,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-04-27,21:58:00,CNR9518905,Success,852656,Auto,Area 1,Area 48,2.61,11.18,0,,0,,0,,802.77,11.83,4.1,4.9
2025-04-07,21:29:00,CNR7880589,Success,483203,Prime Plus,Area 42,Area 30,3.64,8.54,0,,0,,0,,303.2,14.41,3.6,3.3
2025-04-06,22:43:00,CNR5326642,Cancelled by Driver,754293,Prime Sedan,Area 16,Area 37,,,0,,1,Customer related issue,0,,,,,
2025-04-26,02:36:00,CNR6024832,Cancelled by Customer,947714,Bike,Area 35,Area 9,,,1,Wrong Address,0,,0,,,,,
2025-04-22,22:11:00,CNR8077815,Success,285951,Auto,Area 42,Area 49,9.69,5.03,0,,0,,0,,1204.18,2.88,4,4
2025-04-15,23:57:00,CNR9866040,Success,878715,Prime SUV,Area 31,Area 27,6.67,4.76,0,,0,,0,,596.34,21.51,4.9,3.9
2025-04-17,13:07:00,CNR7366695,Success,357185,Prime Plus,Area 9,Area 33,7.19,11.96,0,,0,,0,,202.25,16.62,3.7,4.6
2025-04-13,08:12:00,CNR4721967,Cancelled by Driver,226304,Prime SUV,Area 25,Area 23,,,0,,1,The customer was coughing/sick,0,,,,,
2025-04-13,23:14:00,CNR0748114,Success,571041,eBike,Area 48,Area 11,5.15,7.88,0,,0,,0,,695.91,18.37,3.7,4.9
2025-04-10,17:05:00,CNR4045848,Cancelled by Customer,795088,Mini,Area 13,Area 5,,,1,Driver asked to cancel,0,,0,,,,,
2025-04-09,22:08:00,CNR1774023,Cancelled by Driver,496628,eBike,Area 17,Area 6,,,0,,1,More than permitted people in there,0,,,,,
2025-04-17,10:12:00,CNR9776798,Incomplete,233077,Mini,Area 30,Area 17,,,0,,0,,1,Customer Demand,,,,
2025-04-09,10:00:00,CNR7943968,Incomplete,718504,Prime Sedan,Area 44,Area 25,,,0,,0,,1,Customer Demand,,,,
2025-04-27,14:29:00,CNR4684688,Cancelled by Customer,864214,Prime Plus,Area 29,Area 12,,,1,AC is not working,0,,0,,,,,
2025-04-02,21:01:00,CNR5974414,Cancelled by Driver,778508,Auto,Area 5,Area 47,,,0,,1,More than permitted people in there,0,,,,,
2025-04-11,01:36:00,CNR0984271,Other,775472,Prime SUV,Area 21,Area 14,,,0,,0,,0,,,,,
2025-04-29,12:15:00,CNR6788569,Incomplete,743536,Auto,Area 17,Area 45,,,0,,0,,1,Vehicle Breakdown,,,,
2025-04-19,18:21:00,CNR5075338,Cancelled by Driver,873680,Mini,Area 20,Area 22,,,0,,1,More than permitted people in there,0,,,,,
